Title,Duration,Watch with Mike,Mike rec,My choice,Watched,Chest
Little Joe,1h 45m,,,,,
Live Flesh,1h 39m,,,,,
Little Girl,1h 25m,,,,,
"Lo And Behold, Reveries Of The Connected World",1h 36m,,,,,
Locke,1h 25m,,,,,
Long Day's Journey Into Night,2h 13m,,,,,
Long Shot,2h 5m,,,,,
Lore,1h 49m,,,,,
Loro,2h 30m,,,,,
Lourdes,1h 39m,,,,,
Love,2h 15m,,,,,
Love & Friendship,1h 33m,,,,,
Love Child,1h 52m,,,,,
Love Like Poison,1h 32m,,,,,
The Lovers,1h 27m,,,,,
Lucien Freud: A Self Portrait,1h 20m,,,,,
The Lunchbox,1h 45m,,,,,
Luxor,1h 25m,,,,,
Luzzu,1h 35m,,,,,
Lynch/Oz,1h 49m,,,,,
My Friend Lanre,1h 25m,,,,,
Minari,1h 55m,,,,,
Mean Streets,1h 52m,,,,,
My Father's Secrets,1h 14m,,,,,
Mother and Son,1h 57m,,,,,
Merkel,1h 35m,,,,,
Medusa Deluxe,1h 41m,,,,,
Manderlay,2h 19m,,,,,
Le mépris,1h 43m,,,,,
My Name Is Alfred Hitchcock,2h 0m,,,,,
Medusa,2h 7m,,,,,
Master Gardener,1h 51m,,,,,
Mad About the Boy: The Noël Coward Story,1h 31m,,,,,
Menashe,1h 22m,,,,,
Mountain,1h 13m,,,,,
Mistaken For Strangers,1h 20m,,,,,
Man On Wire,1h 34m,,,,,
More Than Ever,2h 3m,,,,,
Mr. Bachmann and His Class,3h 37m,,,,,
Magic Mike,1h 50m,,,,,
Midwives,1h 31m,,,,,
My Old School,1h 44m,,,,,
The Million Dollar Hotel,2h 2m,,,,,
A Man Called Ove,1h 56m,,,,,
Meek's Cutoff,1h 43m,,,,,
"Moon, 66 Questions",1h 48m,,,,,
Memoria,2h 16m,,,,,
Murina,1h 36m,,,,,
The Metamorphosis of Birds,1h 41m,,,,,
The Mother,1h 52m,,,,,
Memory Box,1h 41m,,,,,
Mulholland Drive,2h 21m,,,,,
Minyan,1h 58m,,,,,
Mothering Sunday,1h 44m,,,,,
My Little Sister,1h 36m,,,,,
The Mauritanian,2h 9m,,,,,
Minamata,1h 55m,,,,,
My Scientology Movie,1h 35m,,,,,
Mogul Mowgli,1h 30m,,,,,
The Most Beautiful Boy in the World,1h 33m,,,,,
My Friend Dahmer,1h 43m,,,,,
Monsters And Men,1h 35m,,,,,
Mary And The Witch's Flower,1h 43m,,,,,
Milou En Mai,1h 47m,,,,,
My Dinner With Andre,1h 49m,,,,,
Making Noise Quietly,1h 35m,,,,,
My Night With Maud,1h 45m,,,,,
Martin Eden,2h 9m,,,,,
Midnight Traveller,1h 30m,,,,,
The Man Standing Next,1h 54m,,,,,
Max Richter's Sleep,1h 39m,,,,,
Manchester by the Sea,2h 17m,,,,,
The Man Who Fell to Earth,2h 19m,,,,,
Maborosi,1h 49m,,,,,
The Macaluso Sisters,1h 34m,,,,,
The Maid,1h 40m,,,,,
Make Up,1h 26m,,,,,
Making Waves: The Art Of Cinematic Sound,1h 34m,,,,,
A Man Escaped,1h 35m,,,,,
The Man Without A Past,1h 33m,,,,,
Manglehorn,1h 37m,,,,,
Marjorie Prime,1h 34m,,,,,
Martyr,1h 24m,,,,,
Mary Shelley,1h 46m,,,,,
The Match Factory Girl,1h 8m,,,,,
Matisse,1h 37m,,,,,
Maurice,2h 21m,,,,,
Matthew Bourne's Romeo + Juliet,1h 31m,,,,,
Matthew Bourne's Swan Lake,2h 6m,,,,,
Matthew Bourne's The Car Man,1h 38m,,,,,
Mayor,1h 29m,,,,,
McCullin,1h 36m,,,,,
McQueen,1h 46m,,,,,
Me And You,1h 36m,,,,,
"Mektoub, My Love",2h 55m,,,,,
Melancholia,2h 15m,,,,,
Memories Of Murder,2h 11m,,,,,
Memories Of My Father,2h 16m,,,,,
Mia Madre,1h 47m,,,,,
Michael,1h 36m,,,,,
Michael H. Profession: Director,1h 32m,,,,,
Mid-august Lunch,1h 12m,,,,,
Mid90s,1h 25m,,,,,
Midnight Family,1h 21m,,,,,
The Midwife,1h 57m,,,,,
Military Wives,1h 53m,,,,,
Minding The Gap,1h 33m,,,,,
Mirror,1h 47m,,,,,
Misbehaviour,1h 46m,,,,,
Miss Juneteenth,1h 39m,,,,,
Mister John,1h 35m,,,,,
MLK/FBI,1h 44m,,,,,
Moebius,1h 29m,,,,,
Moffie,1h 44m,,,,,
The Mole Agent,1h 24m,,,,,
Monica,1h 53m,,,,,
Monos,1h 42m,,,,,
Monsoon,1h 25m,,,,,
Moonlight,1h 48m,,,,,
Mother (2009),2h 9m,,,,,
Mother (2021),1h 22m,,,,,
Mouthpiece,1h 32m,,,,,
Mr Jones,2h 21m,,,,,
Mrs Henderson Presents,1h 39m,,,,,
Mrs Lowry And Son,1h 31m,,,,,
Murmur Of The Heart,1h 58m,,,,,
Mustang,1h 37m,,,,,
My Beautiful Laundrette,1h 37m,,,,,
"My Donkey, My Lover & I",1h 37m,,,,,
My Life As A Courgette,1h 6m,,,,,
My Old Lady,1h 47m,,,,,
Mystery,1h 34m,,,,,
Mystify: Michael Hutchence,1h 44m,,,,,
Nowhere Special,1h 36m,,,,,
The Nettle Dress,1h 8m,,,,,
Name Me Lawand,1h 31m,,,,,
Nam June Paik: Moon Is the Oldest TV,1h 47m,,,,,
No Bears,1h 47m,,,,,
Nothing Lasts Forever,1h 27m,,,,,
The Neon Demon,1h 52m,,,,,
Nostalgia For The Light,1h 30m,,,,,
No Country for Old Men,2h 2m,,,,,
Notebook On Cities And Clothes,1h 18m,,,,,
Lightning Over Water,1h 29m,,,,,
Notre-Dame on Fire,1h 50m,,,,,
The Novice,1h 34m,,,,,
Navalny,1h 39m,,,,,
Never Gonna Snow Again,1h 56m,,,,,
The Nest,1h 47m,,,,,
Natural Light,1h 43m,,,,,
Next Door,1h 32m,,,,,
Ninjababy,1h 44m,,,,,
The Nightmare,1h 28m,,,,,
Night of the Kings,1h 33m,,,,,
Nénette,1h 10m,,,,,
Napoleon Acts I&II,2h 57m,,,,,
Nostalgia (2023),1h 58m,,,,,
Napoleon Acts III&IV,2h 35m,,,,,
Neighbouring Sounds,2h 11m,,,,,
National Gallery,3h 1m,,,,,
Never Look Away,3h 9m,,,,,
Next Of Kin,1h 10m,,,,,
The Night Is Young,1h 45m,,,,,
Night Moves,1h 52m,,,,,
The Nightingale,2h 16m,,,,,
Nobody Knows,2h 21m,,,,,
Non-Fiction,1h 48m,,,,,
Nosferatu The Vampyre,1h 47m,,,,,
Nostalgia (1983),2h 3m,,,,,
Notes On Blindness,1h 30m,,,,,
Nymphomaniac Vol 1&2,4h 1m,,,,,
Nurse Edith Cavell,1h 38m,,,,,
The Old Oak,1h 53m,,,,,
On the Adamant,1h 49m,,,,,
Once Upon a Time in Uganda,1h 34m,,,,,
One Fine Morning,1h 53m,,,,,
On Our Doorstep,1h 31m,,,,,
Other People's Children,1h 44m,,,,,
On The Road,2h 17m,,,,,
On Chesil Beach,1h 44m,,,,,
Official Competition,1h 55m,,,,,
Omar,1h 36m,,,,,
One of These Days,2h 1m,,,,,
The Outsiders: The Complete Novel,1h 50m,,,,,
Oliver Sacks: His Own Life,1h 51m,,,,,
The Offering,1h 51m,,,,,
"Oslo, August 31st",1h 35m,,,,,
On A Magical Night,1h 26m,,,,,
The Odyssey,2h 2m,,,,,
One Man and His Shoes,1h 23m,,,,,
Of Gods And Men,1h 52m,,,,,
Of Horses And Men,1h 21m,,,,,
Oldboy,2h 0m,,,,,
One Way To Moscow,1h 39m,,,,,
Only Lovers Left Alive,2h 3m,,,,,
Only The Animals,1h 56m,,,,,
Only You,1h 59m,,,,,
Orlando,1h 29m,,,,,
The Other Side Of Hope,1h 40m,,,,,
Our Little Sister,2h 8m,,,,,
Passages,1h 32m,,,,,
Pamfir,1h 46m,,,,,
Pacifiction,2h 45m,,,,,
The Pearl Button,1h 22m,,,,,
Palermo Shooting,1h 48m,,,,,
The Party,1h 8m,,,,,
Paterson,1h 55m,,,,,
Palio,1h 31m,,,,,
Place De La Republique,1h 31m,,,,,
Phantom India Part One,3h 23m,,,,,
Phantom India Part Two,2h 33m,,,,,
A Private War,1h 50m,,,,,
A Prophet,2h 35m,,,,,
The Piano,1h 56m,,,,,
Potiche,1h 39m,,,,,
The Painted Bird,2h 49m,,,,,
The Painter And The Thief,1h 42m,,,,,
Pandora And The Flying Dutchman,2h 0m,,,,,
Parasite,2h 11m,,,,,
"Paris, 13th District",1h 45m,,,,,
Parasite: Black And White Edition,2h 11m,,,,,
Paris Memories,1h 43m,,,,,
"Paris, Texas",2h 18m,,,,,
The Past,2h 10m,,,,,
Past Lives,1h 46m,,,,,
The Peanut Butter Falcon,1h 33m,,,,,
Perfect 10,1h 23m,,,,,
The Perfect Candidate,1h 41m,,,,,
Perfumes,1h 40m,,,,,
Persian Lessons,2h 7m,,,,,
The Personal History Of David Copperfield,1h 59m,,,,,
Personal Shopper,1h 45m,,,,,
Peter von Kant,1h 25m,,,,,
Philomena,1h 38m,,,,,
Photograph,1h 48m,,,,,
Pig,1h 32m,,,,,
A Pigeon Sat On A Branch Reflecting On Existence,1h 40m,,,,,
Pina,1h 43m,,,,,
Pinocchio,2h 5m,,,,,
Pirates,1h 20m,,,,,
Plan 75,1h 53m,,,,,
Play,1h 58m,,,,,
Playground,1h 12m,,,,,
Playlist,1h 24m,,,,,
Pleasure,1h 49m,,,,,
"Police, Adjective",1h 49m,,,,,
Polisse,2h 7m,,,,,
Poly Styrene: I Am a Cliché,1h 29m,,,,,
Portrait Of A Lady On Fire,2h 0m,,,,,
Possessor,1h 43m,,,,,
Pray for Our Sinners,1h 21m,,,,,
A Prayer Before Dawn,1h 52m,,,,,
Preparations to Be Together For an Unknown Period of Time,1h 35m,,,,,
Pretty Red Dress,1h 50m,,,,,
Proxima,1h 47m,,,,,
The Public,2h 0m,,,,,
PVT Chat,1h 26m,,,,,
The Queen of Versailles,1h 40m,,,,,
The Quiet Girl,1h 34m,,,,,
A Quiet Place Part II,1h 37m,,,,,
Queen & Country,1h 55m,,,,,
Quartet,1h 41m,,,,,
The Queen,1h 43m,,,,,
Querelle,1h 48m,,,,,
"Quo Vadis, Aida?",1h 43m,,,,,
R.M.N.,2h 7m,,,,,
Raging Grace,1h 40m,,,,,
Rudy,1h 49m,,,,,
Return to Seoul,1h 59m,,,,,
Reality,1h 22m,,,,,
Rodeo,1h 46m,,,,,
"Riotsville, U.S.A.",1h 31m,,,,,
Risk,1h 26m,,,,,
Rimini,1h 55m,,,,,
Royal Opera House: The Nutcracker,3h 1m,,,,,
Return to Dust,2h 14m,,,,,
Russian Ark,1h 35m,,,,,
Royal Opera House: La traviata,2h 15m,,,,,
Royal Opera House: Madama Butterfly,2h 45m,,,,,
Royal Opera House: Le nozze di Figaro,3h 3m,,,,,
Rocks,1h 33m,,,,,
Room 666,44m,,,,,
Royal Opera House: La bohème,3h 3m,,,,,
The Railway Children Return,1h 35m,,,,,
Royal Opera House: Fidelio,2h 30m,,,,,
Royal Opera House: Swan Lake,3h 45m,,,,,
Royal Opera House: Dances at a Gathering/The Cellist,1h 5m,,,,,
Royal Opera House: The Sleeping Beauty,3h 21m,,,,,
Royal Opera House: Coppelia,2h 30m,,,,,
Reaching For The Moon,1h 58m,,,,,
Royal Opera House: Don Giovanni,3h 30m,,,,,
Reprise,1h 45m,,,,,
Red Road,1h 50m,,,,,
Rebel Dread,1h 26m,,,,,
Rurangi,1h 28m,,,,,
Reservoir Dogs,1h 39m,,,,,
Rebellion,2h 16m,,,,,
Requiem For A Dream,1h 42m,,,,,
The Raft,1h 38m,,,,,
RYUICHI SAKAMOTO: CODA,1h 40m,,,,,
Rose Plays Julie,1h 41m,,,,,
Redemption of a Rogue,1h 33m,,,,,
Rapt,2h 3m,,,,,
Route Irish,1h 49m,,,,,
Rivers And Tides,1h 30m,,,,,
The Rider,1h 41m,,,,,
Rust and Bone,1h 58m,,,,,
Room,1h 53m,,,,,
Rush,1h 58m,,,,,
Radioactive,1h 49m,,,,,
Rafiki,1h 22m,,,,,
A Rainy Day In New York,1h 33m,,,,,
Raise Hell: The Life and Times of Molly Ivins,1h 33m,,,,,
Recorder: The Marion Stokes Project,1h 27m,,,,,
Rams (2016),1h 33m,,,,,
Rams (2021),1h 55m,,,,,
The Rape Of Recy Taylor,1h 31m,,,,,
Ray & Liz,1h 49m,,,,,
RBG,1h 38m,,,,,
Red Army,1h 24m,,,,,
Rescue Dawn,2h 6m,,,,,
The Return,1h 45m,,,,,
Ricky,1h 24m,,,,,
Rosetta,1h 35m,,,,,
A Royal Affair,2h 18m,,,,,
The Soil and the Sea,1h 14m,,,,,
"Someone's Daughter, Someone's Son",1h 27m,,,,,
Samsara,1h 53m,,,,,
Sunset Boulevard,1h 50m,,,,,
Sweet Sue,1h 37m,,,,,
Scrapper,1h 24m,,,,,
Smoking Causes Coughing,1h 17m,,,,,
Shine,1h 45m,,,,,
La Syndicaliste,2h 2m,,,,,
Slow Motion,1h 27m,,,,,
Squaring the Circle (the story of hipgnosis),1h 41m,,,,,
"Small, Slow But Steady",1h 40m,,,,,
The Super 8 Years,1h 4m,,,,,
Sick of Myself,1h 37m,,,,,
Strangers on a Train,1h 41m,,,,,
Saint Omer,2h 3m,,,,,
Subject,1h 37m,,,,,
Sauvage,1h 37m,,,,,
She Is Love,1h 20m,,,,,
Somers Town,1h 11m,,,,,
See How They Fall,1h 30m,,,,,
A Simple Favour,1h 52m,,,,,
Sing Street,1h 46m,,,,,
Slow West,1h 21m,,,,,
Strawberry Mansion,1h 31m,,,,,
The Score,1h 40m,,,,,
The Scarlet Letter,1h 26m,,,,,
The State Of Things,1h 56m,,,,,
Sexy Beast,1h 29m,,,,,
Shallow Grave,1h 32m,,,,,
Swan Song,1h 45m,,,,,
The Straight Story,1h 52m,,,,,
Short Term 12,1h 36m,,,,,
Sorry Angel,2h 12m,,,,,
The Souvenir Part II,1h 47m,,,,,
Summer 1993,1h 34m,,,,,
Scream (2022),1h 54m,,,,,
Scott Walker: 30 Century Man,1h 36m,,,,,
Spider,1h 38m,,,,,
Salmon Fishing In The Yemen,1h 47m,,,,,
Skate Kitchen,1h 46m,,,,,
Spencer,1h 57m,,,,,
The Story of Film: A New Generation,2h 40m,,,,,
The Storms Of Jeremy Thomas,1h 34m,,,,,
Sweetheart,1h 43m,,,,,
The Servant,1h 56m,,,,,
EXHIBITION ON SCREEN: Sunflowers,1h 25m,,,,,
The Story of Looking,1h 30m,,,,,
Sacro GRA,1h 31m,,,,,
Sweet Thing,1h 31m,,,,,
Shorta,1h 48m,,,,,
Spitfire,1h 35m,,,,,
Sicilian Ghost Story,1h 53m,,,,,
Set The Piano Stool On Fire,1h 17m,,,,,
The Student,1h 55m,,,,,
Snow In Paradise,1h 48m,,,,,
A Swedish Love Story,1h 55m,,,,,
Shadows In Paradise,1h 16m,,,,,
SICARIO 2: SOLDADO,2h 2m,,,,,
Sunset,2h 22m,,,,,
Spiral,1h 19m,,,,,
Stray,1h 12m,,,,,
Sequin in a Blue Room,1h 20m,,,,,
The Short Films Of Claire Oakley,53m,,,,,
Songs From The Second Floor,1h 34m,,,,,
Spaceship Earth,1h 54m,,,,,
Sonatine,1h 34m,,,,,
Show Me The Picture: The Story Of Jim Marshall,1h 32m,,,,,
Saint Frances,1h 46m,,,,,
Supernova,1h 33m,,,,,
Surge,1h 45m,,,,,
Sightseers,1h 25m,,,,,
The Sense of an Ending,1h 48m,,,,,
Sweat,1h 45m,,,,,
Servants,1h 20m,,,,,
The Sacrifice,2h 29m,,,,,
Saint Maud,1h 24m,,,,,
The Salesman,2h 23m,,,,,
The Salt Of The Earth,1h 50m,,,,,
Sátántángó: Part One,7h 30m,,,,,
Sátántángó: Part Two,7h 30m,,,,,
A Scandal In Paris,1h 40m,,,,,
The Seasons In Quincy,1h 33m,,,,,
The Selfish Giant,1h 30m,,,,,
A Separation,2h 6m,,,,,
The Seventh Continent,1h 47m,,,,,
Shakespeare Wallah,2h 3m,,,,,
She Dies Tomorrow,1h 24m,,,,,
Sherlock Jr.,45m,,,,,
Shirley,1h 46m,,,,,
Shooting The Mafia,1h 37m,,,,,
Shoplifters,2h 1m,,,,,
A Short Film About Killing,1h 22m,,,,,
A Short Film About Love,1h 23m,,,,,
Showgirls,2h 11m,,,,,
Shun Li And The Poet,1h 38m,,,,,
The Silence Of Lorna,1h 45m,,,,,
Simple Passion,1h 39m,,,,,
Sing Me A Song,1h 39m,,,,,
Sisters with Transistors,1h 30m,,,,,
The Skin I Live In,2h 5m,,,,,
Slalom,1h 32m,,,,,
Slumdog Millionaire,2h 3m,,,,,
Snowpiercer,2h 6m,,,,,
"So Long, My Son",3h 5m,,,,,
Solaris,2h 46m,,,,,
Some Kind of Heaven,1h 23m,,,,,
Something In The Air,2h 2m,,,,,
Son Of Saul,1h 47m,,,,,
Songbird,1h 32m,,,,,
The Souvenir,1h 59m,,,,,
Spring Blossom,1h 13m,,,,,
The Square,2h 26m,,,,,
St. Martin's Lane,1h 24m,,,,,
Stalker,2h 42m,,,,,
Stardust,1h 49m,,,,,
"Steamboat Bill, Jr.",1h 19m,,,,,
Still Alice,1h 41m,,,,,
Still Life,1h 33m,,,,,
Still Walking,1h 54m,,,,,
Stories We Tell,1h 48m,,,,,
Storm In A Teacup,1h 27m,,,,,
Stranger By The Lake,1h 40m,,,,,
The Street,1h 34m,,,,,
Stroszek,1h 48m,,,,,
Sudden Fear,1h 50m,,,,,
Summer of '85,1h 40m,,,,,
Summerland,1h 40m,,,,,
Summertime,1h 45m,,,,,
Support The Girls,1h 27m,,,,,
The Sweet Hereafter,1h 52m,,,,,
Synchronic,1h 42m,,,,,
System Crasher,1h 58m,,,,,
Tchaikovsky's Wife,2h 23m,,,,,
This Blessed Plot,1h 15m,,,,,
Tótem,1h 35m,,,,,
Tarrac,1h 34m,,,,,
TISH,1h 30m,,,,,
Trenque Lauquen: Part 1,2h 8m,,,,,
Trenque Lauquen: Part 2,2h 12m,,,,,
Typist Artist Pirate King,1h 48m,,,,,
There's Something in the Barn,1h 37m,,,,,
To Nowhere,1h 25m,,,,,
The Talented Mr. Ripley,2h 19m,,,,,
Tori and Lokita,1h 29m,,,,,
The Trial,1h 59m,,,,,
Triangle of Sadness,2h 27m,,,,,
Three Minutes: A Lengthening,1h 9m,,,,,
Testament Of Youth,2h 7m,,,,,
Tokyo-Ga,1h 32m,,,,,
A Trick of the Light,1h 16m,,,,,
Trainspotting,1h 34m,,,,,
The Thief of Paris,2h 0m,,,,,
Touching The Void,1h 46m,,,,,
True Things,1h 42m,,,,,
Tigers,1h 56m,,,,,
Theo and the Metamorphosis,1h 36m,,,,,
Tom Of Finland,1h 55m,,,,,
Tiny Furniture,1h 38m,,,,,
Tabu,1h 58m,,,,,
Trees Lounge,1h 35m,,,,,
Three Days In Quiberon,1h 55m,,,,,
Titane,1h 48m,,,,,
Taming the Garden,1h 30m,,,,,
The Tango Lesson,1h 40m,,,,,
There Is No Evil,2h 30m,,,,,
The Toll,1h 22m,,,,,
The Tree,1h 41m,,,,,
"Take Care Of Your Scarf, Tatjana",0m,,,,,
Total Balalaika Show,57m,,,,,
Talking About Trees,1h 34m,,,,,
Tripping with Nils Frahm,1h 27m,,,,,
Tell It To The Bees,1h 48m,,,,,
Two Of Us,1h 35m,,,,,
Tove,1h 40m,,,,,
The 8th,1h 34m,,,,,
Tinker Tailor Soldier Spy,2h 2m,,,,,
Tale Of Tales,2h 13m,,,,,
Talk To Her,1h 54m,,,,,
Thérèse Desqueyroux,1h 50m,,,,,
The Thief Of Baghdad,2h 26m,,,,,
Things To Come,1h 42m,,,,,
The Third Murder,2h 4m,,,,,
Three Colours: Blue,1h 38m,,,,,
Three Colours: White,1h 32m,,,,,
Three Colours: Red,1h 39m,,,,,
Through The Wall,1h 51m,,,,,
Thunder Road,1h 30m,,,,,
Tie Me Up! Tie Me Down!,1h 37m,,,,,
Timbuktu,1h 36m,,,,,
Tomboy,1h 22m,,,,,
Toni Erdmann,2h 39m,,,,,
Totally Under Control,2h 3m,,,,,
Train to Busan Presents: Peninsula,1h 56m,,,,,
Transit,1h 42m,,,,,
Trishna,1h 53m,,,,,
True History Of The Kelly Gang,2h 5m,,,,,
True Mothers,2h 20m,,,,,
Truman & Tennessee: An Intimate Conversation,1h 26m,,,,,
The Truth,1h 46m,,,,,
The Turin Horse,2h 26m,,,,,
"Two Days, One Night",1h 35m,,,,,
Under the Fig Trees,1h 32m,,,,,
Under The Shadow,1h 24m,,,,,
Until the End of the World - Director's Cut,4h 47m,,,,,
Under The Skin (1997),1h 22m,,,,,
The Unbearable Weight of Massive Talent,1h 47m,,,,,
Una,1h 30m,,,,,
UTØYA-JULY 22,1h 37m,,,,,
Underground,1h 37m,,,,,
Uncle Boonmee Who Can Recall His Past Lives,1h 53m,,,,,
Under The Rainbow,1h 52m,,,,,
Undine,1h 32m,,,,,
Under the Skin (2014),1h 46m,,,,,
Unhinged,1h 33m,,,,,
Unrelated,1h 40m,,,,,
The Unknown Girl,1h 42m,,,,,
The Virgin Suicides,1h 37m,,,,,
The Villainess,2h 3m,,,,,
Vesper,1h 54m,,,,,
Vortex,2h 22m,,,,,
Van Gogh,2h 38m,,,,,
The Velvet Queen: Snow Leopard,1h 32m,,,,,
Valley Of Love,1h 32m,,,,,
Venus In Fur,1h 36m,,,,,
Vita & Virginia,1h 50m,,,,,
Vagabond,1h 41m,,,,,
Van Gogh & Japan,1h 27m,,,,,
Varda By Agnès,1h 55m,,,,,
Victoria,2h 18m,,,,,
Vincere,1h 59m,,,,,
Vivarium,1h 37m,,,,,
Volver,1h 58m,,,,Y,
Vox Lux,1h 54m,,,,,
Wonka,1h 56m,,,,,
We Dare To Dream (Audio Description),1h 38m,,,,,
We Dare to Dream,1h 38m,,,,,
War Pony,1h 55m,,,,,
While We Watched,1h 35m,,,,,
Winners,1h 25m,,,,,
What's Love Got to Do With It?,1h 49m,,,,,
The Work,1h 29m,,,,,
The Whale,1h 57m,,,,Y,
"Westwood: Punk, Icon, Activist",1h 19m,,,,,
The Wings of the Dove,1h 42m,,,,,
What Do We See When We Look at the Sky?,2h 31m,,,,,
Wrong Move,1h 39m,,,,,
Wildhood,1h 48m,,,,,
Wings of Desire,2h 2m,,,,,
Wadjda,1h 38m,,,,,
The Worst Person in the World,2h 8m,,,,,
Wake Up Punk,1h 23m,,,,,
Wild Men,1h 42m,,,,,
The Wonders,1h 51m,,,,,
We're All Going to the World's Fair,1h 26m,,,,,
Wheel of Fortune and Fantasy,2h 1m,,,,,
What Is Cinema?,1h 20m,,,,,
Wildland,1h 28m,,,,,
Wildfire,1h 25m,,,,,
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,1h 44m,,,,,
Winter Sleep,3h 16m,,,,,
The Workshop,1h 49m,,,,,
Whitney,2h 0m,,,,,
WITCH: We Intend To Cause Havoc,1h 29m,,,,,
White Colour Black,1h 25m,,,,,
Weiner,1h 35m,,,,,
The Wound,1h 24m,,,,,
The Wild Pear Tree,3h 8m,,,,,
"A White, White Day",1h 49m,,,,,
The Wailing,2h 29m,,,,,
The Witches of the Orient,1h 40m,,,,,
Wildlife,1h 44m,,,,,
The White Crow,2h 7m,,,,,
The Wrestler,1h 49m,,,,,
W.C. Fields Comedy Shorts,1h 30m,,,,,
Waiting For The Barbarians,1h 54m,,,,,
The Walker,1h 48m,,,,,
Waltz With Bashir,1h 30m,,,,,
Wanted For Murder,1h 43m,,,,,
We Need To Talk About Kevin,1h 50m,,,,,
We The Animals,1h 34m,,,,,
Weekend (2011),1h 36m,,,,,
What Maisie Knew,1h 39m,,,,,
What Richard Did,1h 28m,,,,,
The Whistlers,1h 37m,,,,,
White Material,1h 40m,,,,,
The White Ribbon,2h 24m,,,,,
White Riot,1h 20m,,,,,
Who You Think I Am,1h 42m,,,,,
Wild Tales,1h 52m,,,,Y,
Williams,1h 44m,,,,,
Winter's Bone,1h 40m,,,,,
Woman At War,1h 40m,,,,,
The Woman In The Fifth,1h 24m,,,,,
The Woman Who Ran,1h 17m,,,,,
Women Make Film: Part One,3h 0m,,,,,
Women Make Film: Part Two,3h 0m,,,,,
Women Make Film: Part Three,3h 0m,,,,,
Women Make Film: Part Four,3h 0m,,,,,
Women Make Film: Part Five,2h 0m,,,,,
Women Without Men,1h 40m,,,,,
Woyzeck,1h 20m,,,,,
Wreckers,1h 26m,,,,,
Wuthering Heights,2h 8m,,,,,
Your Fat Friend,1h 34m,,,,Y,
A Year in a Field,1h 26m,,,,,
You Can Live Forever,1h 36m,,,,,
You Resemble Me,1h 30m,,,,,
Young Soul Rebels,1h 45m,,,,,
Yuli,1h 51m,,,,,
You Cannot Kill David Arquette,1h 30m,,,,,
Youth,2h 1m,,,,,
You Were Never Really Here,1h 30m,,,,Y,
You Don't Nomi,1h 32m,,,,,
"You, The Living",1h 32m,,,,,
Young Ahmed,1h 30m,,,,,
Young Picasso,1h 25m,,,,,
Zama,1h 50m,,,,,
Zana,1h 37m,,,,,
Zazie Dans le Métro,1h 28m,,,,,
